      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 JAN  3   18 12 15.7 38.3771 22.0477   13         1.1
 2021 JAN  3   18 38 54.5 38.3963 22.0065   12         1.6
 2021 JAN  3   19 11 50.7 38.3784 22.0107    9         1.5
 2021 JAN  3   19 23 17.2 38.8069 20.9578   14         1.7
 2021 JAN  3   19 50 12.0 38.1638 22.6401   10         1.6
 2021 JAN  3   20 05 00.0 34.9338 24.3979   14         2.1
 2021 JAN  3   20 51 28.4 35.6790 27.7908    7         2.7
 2021 JAN  3   23 57 13.1 38.3070 23.4846    6         1.5
 2021 JAN  4   01 02 14.1 34.6866 25.1871   11         2.5
 2021 JAN  4   01 31 49.4 38.3867 22.0363    8         1.3
 2021 JAN  4   01 43 26.3 37.1265 23.9429   14         2.1
 2021 JAN  4   01 59 08.6 38.3913 22.0317    9         1.4
 2021 JAN  4   02 07 18.5 37.5366 21.1597   20         2.0
 2021 JAN  4   04 23 15.1 37.9156 21.5350   23         1.7
 2021 JAN  4   06 03 54.3 34.7452 25.3244   11         2.7
 2021 JAN  4   07 30 50.0 38.3908 22.0377    6         0.6
 2021 JAN  4   09 18 05.7 38.4032 22.0116   11         1.5
 2021 JAN  4   09 42 40.5 38.5611 21.6202   19         1.4
 2021 JAN  4   10 11 21.9 34.2627 25.5615    9         2.7
 2021 JAN  4   13 56 57.9 38.2169 25.8298   18         3.1
 2021 JAN  4   15 53 35.8 35.4904 26.5530   11         2.5
 2021 JAN  4   15 57 54.2 38.3780 22.0432   12         1.4
 2021 JAN  4   17 05 07.1 39.3777 20.1517    7         2.5
 2021 JAN  4   23 54 54.7 38.0727 21.7992   22         1.9
 2021 JAN  5   01 24 01.8 37.6781 22.5993   62         3.0
 2021 JAN  5   01 59 50.1 34.6564 24.7357   29         2.4
 2021 JAN  5   02 04 14.0 38.3917 22.0184    9         2.3
 2021 JAN  5   02 33 39.5 38.3853 22.0065   11         1.4
 2021 JAN  5   03 06 23.2 35.5417 26.7068    6         2.4
 2021 JAN  5   03 11 32.2 38.3913 22.0280   10         1.3
 2021 JAN  5   04 18 26.0 37.8676 26.7458   11         2.9
 2021 JAN  5   06 22 33.3 38.3867 22.0006    8         1.4
 2021 JAN  5   08 49 18.7 38.9346 21.1642   34         1.7
 2021 JAN  5   11 19 14.1 39.4418 20.6790   12         1.8
 2021 JAN  5   12 20 56.4 38.9200 23.3432   12         2.7
 2021 JAN  5   14 22 26.1 38.4787 26.9412   10         2.8
 2021 JAN  5   15 24 06.7 39.9344 24.0060   14         2.2
 2021 JAN  5   15 32 11.6 38.3871 22.0230    8         1.5
 2021 JAN  5   16 36 36.8 38.3633 21.9516    9         1.1
 2021 JAN  5   16 47 42.0 34.4266 25.3116   25         3.4
 2021 JAN  5   17 22 42.1 38.3890 21.9955    6         0.9
 2021 JAN  5   18 20 11.1 38.4055 21.9717    8         1.0
 2021 JAN  5   18 47 32.4 34.7763 24.0939   10         2.2
 2021 JAN  5   20 03 47.1 38.3821 22.0665   10         0.7
 2021 JAN  5   20 36 06.9 37.5275 21.9781   12         1.7
 2021 JAN  5   21 29 12.3 38.5057 23.2503   13         2.0
 2021 JAN  5   21 50 32.0 38.6559 23.3730   13         1.8
 2021 JAN  5   22 14 29.1 34.3341 25.3217   15         2.2
 2021 JAN  5   22 15 06.1 37.2720 20.7559   17         2.3
 2021 JAN  5   23 40 30.0 38.3858 22.0061    6         0.9
 2021 JAN  6   00 32 04.3 36.9722 22.7623   12         2.4
 2021 JAN  6   01 14 38.0 38.3958 22.0198    8         3.6
 2021 JAN  6   01 18 46.5 38.3803 22.0290    8         1.1
 2021 JAN  6   01 28 40.8 38.3949 22.0244    9         1.9
 2021 JAN  6   01 45 33.7 38.3949 22.0235    9         1.5
 2021 JAN  6   01 53 50.9 38.3780 21.9937   10         2.1
 2021 JAN  6   02 01 52.5 38.4261 23.3711    6         1.5
 2021 JAN  6   02 25 03.4 38.3858 22.0409    9         2.1
 2021 JAN  6   02 37 51.3 38.3766 22.0134    8         0.6
 2021 JAN  6   02 37 58.6 38.3821 22.0528    7         2.1
 2021 JAN  6   02 41 57.5 38.3784 22.0436    8         1.6
 2021 JAN  6   03 51 20.0 38.3821 22.0317   11         1.6
 2021 JAN  6   03 53 12.4 38.3931 22.0390   10         2.0
 2021 JAN  6   04 42 00.3 37.6566 24.0152    7         1.1
 2021 JAN  6   04 44 22.6 38.3853 22.0651    9         1.3
 2021 JAN  6   05 03 25.7 39.9156 21.3249   12         1.7
 2021 JAN  6   05 07 56.6 38.3926 24.1196   13         1.4
 2021 JAN  6   05 13 21.1 38.3867 22.0280    7         1.1
 2021 JAN  6   05 18 53.9 38.4251 21.9109   10         2.9
 2021 JAN  6   05 52 40.8 34.3469 25.2942   32         2.3
 2021 JAN  6   06 55 34.2 39.3672 20.5605   11         2.8
 2021 JAN  6   07 05 03.3 38.3803 22.0482   11         1.8
 2021 JAN  6   07 22 12.9 37.6712 24.0939    6         1.2
 2021 JAN  6   07 29 00.5 38.3784 22.0161    7         1.1
 2021 JAN  6   08 00 17.9 38.3748 22.0152   11         1.5
 2021 JAN  6   08 35 33.1 38.3871 22.0450   12         1.2
 2021 JAN  6   09 19 13.0 38.3899 22.0056    7         1.0
 2021 JAN  6   09 30 27.3 38.3748 22.0152   11         1.0
 2021 JAN  6   09 39 23.8 38.3437 21.7561   11         2.6
 2021 JAN  6   10 20 27.9 38.3894 22.0015    7         1.7
 2021 JAN  6   10 22 21.1 34.6710 23.9886   23         2.5
 2021 JAN  6   11 31 16.7 38.3839 22.0308    6         1.4
 2021 JAN  6   11 56 44.4 34.7708 25.2567    9         2.0
 2021 JAN  6   12 05 10.4 37.1219 23.9182    6         2.3
 2021 JAN  6   14 06 04.3 36.7776 25.7364    7         2.6
 2021 JAN  6   14 27 24.6 38.3798 22.0230    7         0.9
 2021 JAN  6   14 35 05.2 37.9568 21.5762   24         1.8
 2021 JAN  6   15 28 32.9 38.3844 22.0294    6         0.3
 2021 JAN  6   15 45 49.2 38.3798 22.0248    8         1.0
 2021 JAN  6   15 46 22.3 38.3885 22.0107    7         2.5
 2021 JAN  6   16 04 25.2 38.3757 22.0253    8         1.5
 2021 JAN  6   16 34 50.8 38.3894 22.0061    6         1.2
 2021 JAN  6   16 36 36.0 38.3899 22.0496    8         0.7
 2021 JAN  6   16 51 41.1 38.3849 22.0079    6         1.2
 2021 JAN  6   16 52 18.0 38.3981 22.0102    7         1.0
 2021 JAN  6   17 27 42.3 38.3647 22.0107    6         1.0
 2021 JAN  6   17 36 34.9 38.8161 20.9175    8         2.1
 2021 JAN  6   17 47 30.0 38.3867 21.9933    7         1.1
 2021 JAN  6   17 48 40.0 38.3748 21.9969    9         0.4
 2021 JAN  6   17 52 22.4 38.7314 25.5093   18         2.1
 2021 JAN  6   19 16 41.1 37.7650 21.9859   18         1.4
 2021 JAN  6   19 18 20.5 38.3615 22.0377    7         0.2
 2021 JAN  6   19 25 48.0 34.5895 23.8834   18         1.7
 2021 JAN  6   19 39 09.9 38.7405 25.5075   20         2.3
 2021 JAN  6   19 51 18.1 35.8456 23.1070    6         2.3
 2021 JAN  6   20 20 56.9 37.9362 23.3784   14         1.3
 2021 JAN  6   20 26 07.3 38.2718 26.5237   34         2.7
 2021 JAN  6   21 27 36.9 38.3743 22.0230    6         1.0
 2021 JAN  6   21 29 57.2 36.6595 26.9183  124         3.9
 2021 JAN  6   21 38 19.6 37.9619 21.5639   23         1.6
 2021 JAN  6   22 32 54.9 36.2686 22.1219    9         2.3
 2021 JAN  6   22 35 41.5 35.0253 24.5609    8         2.0
 2021 JAN  6   22 46 21.6 38.3835 22.0212    9         1.3
 2021 JAN  6   22 50 43.3 35.2872 24.2459   16         1.6
 2021 JAN  6   23 18 57.4 34.4897 26.1841   81         2.0
 2021 JAN  6   23 47 51.7 34.3652 25.5762   28         1.7
 2021 JAN  6   23 56 48.2 38.3835 22.0432   11         1.3
 2021 JAN  7   00 45 16.3 38.3908 22.0395    8         1.4
 2021 JAN  7   00 56 22.5 38.3780 22.0322    8         1.1
 2021 JAN  7   00 58 15.3 40.1559 25.0919   17         3.8
 2021 JAN  7   01 27 14.9 34.7946 24.8538   26         1.2
 2021 JAN  7   01 28 34.7 38.3853 22.0303    6         0.8
 2021 JAN  7   02 12 31.3 38.3871 22.3233   10         1.2
 2021 JAN  7   03 42 54.0 38.3803 22.0024    9         2.4
 2021 JAN  7   03 47 22.6 37.8836 21.5085   27         1.5
 2021 JAN  7   04 27 07.7 40.1431 25.0992   23         2.1
 2021 JAN  7   04 58 56.4 37.6474 24.1525   10         1.5
 2021 JAN  7   05 21 40.9 37.8685 21.1940    6         1.7
 2021 JAN  7   05 46 22.4 37.6913 22.7792   70         2.0
 2021 JAN  7   06 15 38.0 37.8030 24.1434   15         1.1
 2021 JAN  7   06 45 12.3 38.1464 20.3851   18         2.4
 2021 JAN  7   06 46 42.7 38.1606 22.6341   14         2.4
 2021 JAN  7   09 14 02.5 38.3739 21.9914    9         1.2
 2021 JAN  7   09 14 51.3 38.3849 22.0171    8         1.5
 2021 JAN  7   09 25 45.1 38.3784 22.0518    8         1.5
 2021 JAN  7   12 52 44.1 38.1491 23.4714    7         1.4
 2021 JAN  7   13 01 14.0 38.2054 23.1789   19         2.4
 2021 JAN  7   13 24 53.4 38.4032 22.0399   10         1.5
 2021 JAN  7   13 31 42.5 38.4004 22.0143    8         1.8
 2021 JAN  7   15 28 26.5 37.3764 20.7999   11         2.7
 2021 JAN  7   16 56 35.5 38.1491 25.9579   10         2.4
 2021 JAN  7   18 30 37.7 40.1336 20.4234    5         2.0
 2021 JAN  7   18 46 11.3 34.7516 25.5597    8         2.1
 2021 JAN  7   20 00 04.5 38.3922 22.0143    6         1.6
 2021 JAN  7   20 49 02.9 38.3757 22.3375   14         1.5
 2021 JAN  7   20 53 49.5 37.2784 20.7220    9         2.7
 2021 JAN  7   21 54 15.7 34.5538 23.7909   19         1.8
 2021 JAN  7   21 57 52.4 38.3743 21.9955    7         0.4
 2021 JAN  7   21 58 09.9 38.3748 22.0509    8         1.0
 2021 JAN  7   22 01 03.6 38.3867 22.0308   11         1.1
 2021 JAN  7   22 26 07.6 38.3757 22.0290   12         1.2
 2021 JAN  7   23 07 04.8 37.8868 21.3560   18         2.7
 2021 JAN  7   23 48 32.0 34.7195 24.8575   28         1.1
 2021 JAN  8   00 13 10.4 38.2626 23.6234   16         2.1
 2021 JAN  8   01 13 28.8 36.3199 24.1159   68         2.5
 2021 JAN  8   01 46 50.5 34.8935 23.0887   16         3.4
 2021 JAN  8   03 29 11.8 40.5885 22.5398   17         2.2
 2021 JAN  8   03 47 44.4 37.3814 22.1114   13         1.8
 2021 JAN  8   04 32 48.8 37.5339 23.4549    6         0.8
 2021 JAN  8   04 47 52.1 36.0800 23.2571   16         1.8
 2021 JAN  8   04 53 00.0 37.0688 20.3806    6         3.2
 2021 JAN  8   05 13 23.3 37.9596 21.5497   24         2.2
 2021 JAN  8   06 55 05.9 37.7980 21.2764   26         3.5
 2021 JAN  8   07 49 48.7 34.7598 25.0644   12         1.6
 2021 JAN  8   07 56 39.3 35.0418 24.2587   26         2.2
 2021 JAN  8   08 47 50.1 39.9545 23.9566    6         2.2
 2021 JAN  8   09 08 24.5 37.8603 21.1482   12         2.4
 2021 JAN  8   09 13 16.8 37.5430 20.5984   17         2.8
 2021 JAN  8   09 16 54.8 37.9514 21.5268   28         2.0
 2021 JAN  8   09 35 13.6 38.3235 22.0866   12         1.3
 2021 JAN  8   13 46 57.1 38.2320 23.9488    9         1.6
 2021 JAN  8   14 28 14.8 36.5973 24.9152   13         2.6
 2021 JAN  8   15 01 19.6 37.4922 22.0857   12         2.2
 2021 JAN  8   17 08 19.9 37.3604 20.7024   14         3.0
 2021 JAN  8   17 11 16.9 36.0114 23.2050   14         2.4
 2021 JAN  8   17 29 28.2 34.1052 25.8875   35         2.4
 2021 JAN  8   18 15 33.0 36.9786 22.7806   13         2.1
 2021 JAN  8   19 00 40.8 38.1573 22.5751   12         1.5
 2021 JAN  8   19 16 27.3 38.6600 21.4316   34         1.4
 2021 JAN  8   19 21 15.4 38.6819 21.4261   10         2.3
 2021 JAN  8   19 22 47.0 38.6581 21.4462   25         2.2
 2021 JAN  8   19 23 22.5 38.6554 21.4508   24         2.5
 2021 JAN  8   20 20 28.0 38.6600 21.4792   24         1.4
 2021 JAN  8   20 21 10.1 38.4050 21.9850    8         0.7
 2021 JAN  8   20 25 29.9 38.6632 21.4503   30         1.4
 2021 JAN  8   20 28 53.3 38.6449 21.4476   29         1.5
 2021 JAN  8   21 41 29.1 38.3784 22.0235    8         1.0
 2021 JAN  8   22 03 59.1 38.2700 22.3672   12         1.4
 2021 JAN  8   22 17 37.5 37.8195 26.6592   10         2.7
 2021 JAN  8   23 08 38.3 39.9326 24.0372   19         2.9
 2021 JAN  8   23 20 36.4 39.9335 24.0472   18         2.9
 2021 JAN  8   23 31 27.9 38.3890 22.0047    9         1.1
 2021 JAN  8   23 57 31.9 35.6589 26.3077    9         2.9
 2021 JAN  9   00 00 57.2 35.6268 26.3068   12         1.5
 2021 JAN  9   00 06 40.0 35.6451 26.3141   14         3.4
 2021 JAN  9   00 14 31.5 35.6442 26.3150   17         3.2
 2021 JAN  9   00 18 03.8 35.6497 26.3095   17         3.1
 2021 JAN  9   00 40 09.1 35.6973 26.3132   11         3.0
 2021 JAN  9   00 42 08.9 35.6570 26.2839   16         1.9
 2021 JAN  9   00 43 50.0 35.6534 26.2949    9         2.3
 2021 JAN  9   01 25 22.0 40.2109 20.5270    6         2.6
 2021 JAN  9   01 40 38.5 35.6699 26.2985    8         2.9
 2021 JAN  9   01 57 31.6 37.8964 27.1555   13         1.9
 2021 JAN  9   02 05 51.7 38.3949 21.9841    7         1.3
 2021 JAN  9   02 10 27.4 36.4499 22.1970   14         2.4
 2021 JAN  9   02 20 07.8 38.4050 21.9960    9         1.5
 2021 JAN  9   02 26 30.7 38.4261 23.3647    9         2.1
 2021 JAN  9   02 34 57.6 38.3501 21.8019   11         1.1
 2021 JAN  9   04 20 01.7 35.1599 23.1921   45         2.5
 2021 JAN  9   04 33 55.3 35.6195 26.3287   24         4.0
 2021 JAN  9   04 44 19.4 35.7111 26.1237   27         2.9
 2021 JAN  9   05 32 54.5 35.5820 26.3443   28         2.3
 2021 JAN  9   05 38 44.7 38.3986 21.9987    8         2.7
 2021 JAN  9   05 47 21.6 37.9564 21.5437   24         2.4
 2021 JAN  9   05 59 17.6 37.9362 21.4934   20         1.5
 2021 JAN  9   06 26 36.9 35.6406 26.3113   20         2.8
 2021 JAN  9   06 57 15.2 37.9257 21.5378   26         1.6
 2021 JAN  9   07 08 27.4 38.8980 24.0097    6         1.9
 2021 JAN  9   07 28 05.1 35.6534 26.3132   11         2.5
 2021 JAN  9   07 48 08.1 38.6636 22.5046   19         1.8
 2021 JAN  9   08 26 23.6 39.1978 21.7982   15         1.7
