YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
2010,JAN,1,0,40,21.7,37.58,22.16,19,2.8
2010,JAN,1,1,56,54.2,34.74,23.97,23,2.9
2010,JAN,1,2,20,5.8,38.44,25.96,18,2.7
2010,JAN,1,2,49,38.8,41.29,22.73,5,2.6
2010,JAN,1,3,15,42.7,38.83,23.47,21,3
2010,JAN,1,7,20,37.9,39.51,20.78,29,2.6
2010,JAN,1,7,23,47,39.47,20.8,25,2.9
2010,JAN,1,9,18,19.9,38.23,20.88,13,3.5
2010,JAN,1,10,30,7.2,37.97,20.31,5,3.2
2010,JAN,1,12,15,3,34.73,24.52,24,2.9
2010,JAN,1,12,25,51.8,40.03,24.37,33,2.7
2010,JAN,1,12,39,18.4,40.76,19.47,32,3.3
2010,JAN,1,13,50,33.7,38.99,22.28,16,2.7
2010,JAN,1,14,53,41.2,34.85,24.77,32,2.8
2010,JAN,1,15,6,28,38.4,21.97,3,2.6
2010,JAN,1,16,59,18.1,35.17,23.67,23,2.7
2010,JAN,1,18,0,15.1,35.35,27.13,23,2.7
2010,JAN,1,18,7,0.6,35.97,27.04,46,3.3
2010,JAN,1,18,16,17.7,34.84,25.33,20,2.9
2010,JAN,1,22,1,33.8,36.21,22,7,3
2010,JAN,1,23,18,10,37.58,21.74,10,2.9
2010,JAN,1,23,44,20.8,36.96,20.16,41,3.5
2010,JAN,2,0,47,35.2,35.89,23.28,31,2.7
2010,JAN,2,1,11,52.9,37.06,22.16,3,2.7
2010,JAN,2,3,26,50.9,36.28,21.68,22,3.3
2010,JAN,2,4,51,50.3,38.69,21.73,21,2.7
2010,JAN,2,6,24,5.2,39.38,20.07,5,2.4
2010,JAN,2,7,9,52.4,37.44,22.01,13,2.8
2010,JAN,2,10,16,2.2,34.91,24.28,43,2.5
2010,JAN,2,10,29,5,37.19,23.44,31,2.4
2010,JAN,2,10,54,50.8,37.56,21.96,20,2.7
2010,JAN,2,11,55,54.3,38.42,21.83,15,2.5
2010,JAN,2,12,21,4.7,40.41,21.87,5,3.3
2010,JAN,2,16,28,50.2,38.71,22.79,9,2.6
2010,JAN,2,16,39,34.9,36.89,26.81,23,3.2
2010,JAN,2,16,46,24.5,36.03,21.64,30,2.6
2010,JAN,2,18,9,32.9,35.35,27.7,22,3.3
2010,JAN,3,1,19,18.8,38.72,24.82,37,2.6
2010,JAN,3,3,36,4.7,36.83,22.97,38,2.3
2010,JAN,3,3,47,14,37.31,23.06,59,2.7
2010,JAN,3,5,9,50,34.68,25.29,59,3.7
2010,JAN,3,5,58,30.1,38.1,22.7,4,2.2
2010,JAN,3,6,11,26.3,38.08,22.69,4,2.2
2010,JAN,3,8,24,45.2,41.74,22.93,21,2.8
2010,JAN,3,10,57,19.4,34.36,23.5,39,3.5
2010,JAN,3,13,14,36.8,37.16,21.67,25,2.8
2010,JAN,3,14,29,17.8,35.08,25.66,22,2.8
2010,JAN,3,15,19,39.2,37.02,21.53,35,3
2010,JAN,3,16,21,54.4,39.06,21.58,5,2.7
2010,JAN,3,21,23,45.3,37.83,19.79,10,3.2
2010,JAN,3,21,36,38.1,37.73,19.87,17,3.2
2010,JAN,3,22,46,57.2,38.9,22.85,8,2.4
2010,JAN,3,23,20,33,37.66,26.92,8,2.9
2010,JAN,3,23,50,16.9,39.01,25.66,10,3
2010,JAN,4,0,32,25.1,37.26,26.97,6,3.1
2010,JAN,4,0,47,54.6,36.49,21.98,30,3
2010,JAN,4,1,0,28.1,38.58,22.35,5,2.7
2010,JAN,4,1,15,29.5,37.79,19.98,21,3.1
2010,JAN,4,1,48,26.6,38.5,25.54,4,3
2010,JAN,4,2,8,18.9,36.48,21.61,28,3.2
2010,JAN,4,2,19,45.4,37.31,26.91,20,3.1
2010,JAN,4,2,29,47.6,37.28,27.01,4,3
2010,JAN,4,2,32,44.3,39.21,21.49,29,2.7
2010,JAN,4,3,41,38.3,37.19,23.79,15,3.3
2010,JAN,4,4,6,23.8,37.12,20.76,14,2.9
2010,JAN,4,5,14,7.8,37.62,24.14,20,1.9
2010,JAN,4,5,22,31.8,38.7,24.63,27,3
2010,JAN,4,5,36,48.9,37.31,22.17,16,3
2010,JAN,4,5,46,6.4,37.03,21.34,23,3.3
2010,JAN,4,5,59,54.8,37.62,24.12,24,1.9
2010,JAN,4,7,7,33.9,37.5,20.88,8,3.2
2010,JAN,4,7,24,18.5,37.97,23.1,5,2.1
2010,JAN,4,7,56,6.6,38.97,25.81,5,3.1
2010,JAN,4,7,58,17.6,36.47,21.59,23,2.9
2010,JAN,4,7,59,27.2,36.48,23,25,3.1
2010,JAN,4,8,21,53.6,37.76,21.21,18,3
2010,JAN,4,8,29,6.4,37.72,21.38,21,3.1
2010,JAN,4,8,45,4,39.7,20.9,5,3.2
2010,JAN,4,8,49,46.9,39.67,20.93,16,3.3
2010,JAN,4,10,29,5,38.04,20.67,12,3.2
2010,JAN,4,10,38,10.2,39.71,20.94,5,3.2
2010,JAN,4,10,44,59.6,39.69,20.95,5,3.1
2010,JAN,4,13,8,3.4,38.62,25.54,29,3.3
2010,JAN,4,15,12,13.5,35.88,27.43,30,3.1
2010,JAN,4,15,18,40.9,38.94,21.35,23,3.1
2010,JAN,4,16,48,20.8,41.48,20.07,3,3.5
2010,JAN,4,17,11,12.8,37.32,21.33,30,3.1
2010,JAN,4,18,35,56.4,36.73,21.45,32,3.5
2010,JAN,4,18,36,20.7,36.69,26.93,37,3
2010,JAN,4,18,52,22,38.65,22.86,11,2.6
2010,JAN,4,19,34,33.7,36.56,22.94,9,2.9
2010,JAN,4,20,10,10.9,38.28,22.13,7,2.7
2010,JAN,4,20,27,27.8,36.41,27.64,23,3.2
2010,JAN,4,20,30,51.4,36.01,27.26,33,3.1
2010,JAN,4,20,40,31.3,34.52,25.19,31,3.5
2010,JAN,4,22,14,11.8,36.45,22.02,31,3.3
2010,JAN,4,23,3,3.2,40.17,20.77,20,2.9
2010,JAN,4,23,46,35.6,37.91,23.65,10,1.6
2010,JAN,5,1,7,36.5,38.73,24.59,32,2.5
2010,JAN,5,1,44,5.3,37.61,21.4,17,3.1
2010,JAN,5,1,47,23.5,40.06,25.1,15,2.9
2010,JAN,5,2,16,1.9,36.32,21.75,11,3
2010,JAN,5,2,29,59.3,38.3,24.06,22,2.4
2010,JAN,5,2,47,16.7,36.18,25.41,105,4.2
2010,JAN,5,3,48,28.1,38.72,22.78,10,2.1
2010,JAN,5,5,55,17.7,37.42,22,5,2.9
2010,JAN,5,9,1,19.9,38.38,22.02,8,2.8
2010,JAN,5,9,12,31.7,40.41,21.78,5,3
2010,JAN,5,9,41,59.2,38.4,21.94,8,2.7
2010,JAN,5,10,27,55.7,38.11,20.59,24,3.1
2010,JAN,5,11,3,32.3,38.4,21.94,7,2.7
2010,JAN,5,12,29,12.2,38.29,22.12,11,2.7
2010,JAN,5,16,36,21.7,36.25,21.36,31,3.3
2010,JAN,5,16,49,23.1,38.6,20.43,26,3.2
2010,JAN,5,17,7,3,34.66,23.95,39,3.7
2010,JAN,5,17,25,36.7,37.43,26.97,26,3.3
2010,JAN,5,18,53,40.2,39.19,26.6,51,3
2010,JAN,5,20,31,19.5,35.06,24.12,45,2.8
2010,JAN,5,21,54,38.4,34.55,23.51,41,3.4
2010,JAN,6,1,2,51.1,38.1,22.69,5,3
2010,JAN,6,2,35,5.1,38.68,22.84,8,2.8
2010,JAN,6,5,29,2.5,34.95,26.38,15,2.9
2010,JAN,6,6,40,33,34.69,23.59,5,3.2
2010,JAN,6,7,29,18.7,41.62,23.48,18,3.2
2010,JAN,6,10,7,55,38.28,22.14,7,2.6
2010,JAN,6,11,23,21.8,38.61,24,28,2.8
2010,JAN,6,12,17,34.3,37.78,22.41,57,2.7
2010,JAN,6,12,48,52.3,38.26,22.11,6,2.6
2010,JAN,6,13,27,55.2,39.03,22.01,17,3
2010,JAN,6,14,4,33.7,38.17,21.78,25,2.5
2010,JAN,6,14,41,40.5,38.81,23.51,18,2.4
2010,JAN,6,14,43,4.7,38.77,23.42,10,2.6
2010,JAN,6,15,53,11.7,38.8,23.43,5,2.8
2010,JAN,6,16,24,43.5,35.69,26.37,45,3
2010,JAN,6,18,36,34.3,38.83,23.21,16,2.5
2010,JAN,6,22,29,55.7,35.47,26.89,5,2.8
2010,JAN,6,22,41,33.3,34.88,23.96,31,3.1
2010,JAN,6,22,46,23.2,37.89,21.23,18,3
2010,JAN,7,1,32,23.8,36.41,22.04,23,2.9
2010,JAN,7,2,11,25.8,38.29,22.11,6,2.9
2010,JAN,7,2,35,38.8,38.4,21.98,5,2.9
2010,JAN,7,2,50,50.2,37.12,22,9,3
2010,JAN,7,4,8,40.8,35.02,26.6,19,3.5
2010,JAN,7,7,16,49.6,39.17,23.31,6,2.3
2010,JAN,7,9,2,14.5,35.43,27.92,5,2.7
2010,JAN,7,9,10,52.8,40.4,21.8,8,2.7
2010,JAN,7,10,24,11.7,38.34,22.02,8,2.6
2010,JAN,7,13,24,42.5,41.71,20.77,8,3.4
2010,JAN,7,14,11,58.5,39.54,26.07,16,2.7
2010,JAN,7,15,3,34,41.64,20.75,14,3.3
2010,JAN,7,16,34,29.7,38.67,22.72,4,2.6
2010,JAN,7,17,43,13.5,34.57,26.53,5,3.1
2010,JAN,7,19,22,38.4,36.59,22.93,26,3
2010,JAN,7,21,10,48.9,38.29,22.11,10,3
2010,JAN,7,21,13,46.6,38.29,22.11,6,2.4
2010,JAN,7,21,16,43.6,38.29,22.13,8,2.2
2010,JAN,7,21,18,21.4,38.41,21.97,3,2.7
2010,JAN,7,21,49,30.9,38.28,22.11,7,2.2
2010,JAN,7,21,58,44.2,36.1,28.27,19,3.5
2010,JAN,7,22,29,44.6,38.89,22.21,22,2.3
2010,JAN,8,0,4,12.3,34.67,24.97,27,2.9
2010,JAN,8,1,27,47,36.35,27.72,7,3.1
2010,JAN,8,2,35,49.2,38.87,22.2,15,2.8
2010,JAN,8,3,33,18.1,39.59,25.22,26,3
2010,JAN,8,4,14,28.5,38.51,24.18,18,2.3
2010,JAN,8,6,1,10.7,37.01,20.29,15,3.3
2010,JAN,8,6,34,23.3,37.33,22.15,14,2.5
2010,JAN,8,7,52,46.6,36.49,22.18,14,3.2
2010,JAN,8,9,45,40.3,39,23.35,11,2.6
2010,JAN,8,10,12,32.7,35.99,24.02,18,2.8
2010,JAN,8,13,46,27.1,33.88,25.42,5,3.4
2010,JAN,8,13,48,28.3,38.99,24.07,24,2.4
2010,JAN,8,15,57,50.6,38.87,22.22,15,2.7
2010,JAN,8,15,58,57,38.38,21.92,5,2.8
2010,JAN,8,16,57,1.5,38.08,23.6,24,2.4
2010,JAN,8,17,0,56.2,38.09,23.6,22,2.2
2010,JAN,8,17,15,12.3,38.29,22.13,12,2.9
2010,JAN,8,17,32,38.2,37.01,21.64,29,2.8
2010,JAN,8,18,53,43.7,34.91,25.86,24,3.1
2010,JAN,8,18,54,53.7,38.09,23.59,26,2.8
2010,JAN,8,19,14,56.5,38.07,22.44,31,2.4
2010,JAN,8,21,6,32,35.95,21.67,26,3.6
2010,JAN,8,21,58,46.5,38.41,21.92,7,2.5
2010,JAN,8,22,58,58.3,39.91,23.76,27,3
2010,JAN,8,23,20,23.5,38.34,20.58,13,2.8
2010,JAN,8,23,30,45.6,35.05,23,5,3.2
2010,JAN,8,23,32,55.4,39.93,19.69,23,2.8
2010,JAN,8,23,56,16.8,37.92,23.63,15,1.6
2010,JAN,9,0,56,36.7,38.3,22.11,10,2.1
2010,JAN,9,1,45,26.6,37.3,22.12,11,2.3
2010,JAN,9,2,3,44.9,38.41,21.89,9,2.2
2010,JAN,9,2,34,45,35.67,26.72,59,3.3
2010,JAN,9,2,50,8.1,39.84,24.43,30,2.8
2010,JAN,9,3,5,23.4,39.64,20.38,22,2.3
2010,JAN,9,3,59,17.4,39.3,21.51,26,2.7
2010,JAN,9,6,4,14.5,38.34,21.75,15,3.7
2010,JAN,9,6,12,58.1,38.36,21.74,17,2.6
2010,JAN,9,8,32,45.6,38.54,24.05,25,2.1
2010,JAN,9,9,14,6,36.55,21.73,13,2.8
2010,JAN,9,11,15,37.2,38.48,25.68,27,3
2010,JAN,9,12,25,9.8,40.4,21.8,12,3
2010,JAN,9,13,4,23.1,38.03,21.72,17,2.6
2010,JAN,9,13,13,58.8,40,20.54,18,3.1
2010,JAN,9,17,32,12.9,35.46,27.77,30,3.8
2010,JAN,9,18,41,11.3,37.41,20.58,19,2.9
2010,JAN,9,19,57,51.6,37.28,20.16,12,3.4
2010,JAN,9,20,32,19.9,38.07,22.1,10,2.6
2010,JAN,9,22,45,21.2,38.33,22.07,11,2.7
2010,JAN,9,23,8,38.4,37.87,20.94,15,3.3
2010,JAN,9,23,52,54.4,38.28,22.09,3,2.7
2010,JAN,10,0,13,30.3,38.18,22.33,68,2.5
2010,JAN,10,0,35,38.5,38.28,22.11,5,2.8
2010,JAN,10,2,23,26.2,36.92,27.5,45,3.2
2010,JAN,10,4,35,9.9,38.97,21.61,15,3
2010,JAN,10,6,11,6.7,38.29,22.1,10,3.1
2010,JAN,10,6,21,16,36.96,22.86,5,3
2010,JAN,10,6,24,7.6,37.01,22.81,3,2.6
2010,JAN,10,7,8,43.5,35.43,27.54,26,3
2010,JAN,10,7,10,25.9,35.66,27.44,27,3
2010,JAN,10,9,8,42.7,40.39,21.81,14,2.9
2010,JAN,10,11,12,19.5,38.29,22.11,5,2.6
2010,JAN,10,14,59,13.1,41.92,23.12,21,3.3
2010,JAN,10,16,3,3.8,40.14,20.11,16,2.8
2010,JAN,10,17,26,43.5,38.39,21.78,13,2.4
2010,JAN,10,17,35,42,39.44,26.45,19,2.8
