YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
1979,JAN,1,4,29,33,38.7,23.2,33,3.1
1979,JAN,1,6,1,26,38,22,33,3.1
1979,JAN,1,17,44,17,37.3,24,33,3
1979,JAN,4,13,22,35,40.3,25,33,3.6
1979,JAN,4,17,14,55,38.4,22,33,3.1
1979,JAN,5,10,3,48,39.8,25.6,33,4.2
1979,JAN,6,21,17,7,36.4,26.7,100,3.7
1979,JAN,7,18,15,6,38.6,23.4,33,2.8
1979,JAN,7,19,26,34,36.7,23.9,33,3
1979,JAN,8,2,11,38,37.9,20.9,33,4.1
1979,JAN,9,9,53,0,38.6,23.7,33,3
1979,JAN,10,1,19,31,38.7,23.2,33,2.7
1979,JAN,10,2,27,22,38.8,24.1,33,3
1979,JAN,10,3,25,37,38.8,24,33,2.6
1979,JAN,10,20,34,31,38.8,24.3,33,3.4
1979,JAN,10,22,14,15,38.7,23,33,2.8
1979,JAN,13,11,1,39,38.1,22.5,33,3.2
1979,JAN,14,19,26,29,38.2,24.5,33,3.1
1979,JAN,15,22,11,38,38.9,24.8,33,3.1
1979,JAN,16,3,22,57,38.6,23.4,33,3.3
1979,JAN,16,4,32,33,38.6,23.3,33,3.4
1979,JAN,16,11,57,32,38.5,23.3,33,3.4
1979,JAN,16,18,39,3,38.6,23.1,33,3
1979,JAN,21,3,15,26,38.6,23.4,33,3.3
1979,JAN,21,17,17,48,39.1,26,33,3.5
1979,JAN,22,5,49,42,38.5,23,33,3
1979,JAN,22,8,34,54,38.2,25.6,33,3
1979,JAN,22,14,47,27,37.3,22.2,33,3
1979,JAN,23,2,1,0,37.5,22.6,33,3.2
1979,JAN,25,13,20,18,38.6,23.6,33,3.7
1979,JAN,26,20,11,33,38.6,23.6,33,3.6
1979,JAN,27,20,18,15,38.4,21.5,33,3.1
1979,JAN,28,3,55,5,38.3,23.8,33,3.4
1979,JAN,28,4,16,33,37.7,22.5,33,3
