YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
2014,JAN,1,0,40,27,38.34,21.45,31,2.1
2014,JAN,1,0,49,20.8,38.33,22.05,10,1.2
2014,JAN,1,1,4,42.8,34.82,24.49,32,2.2
2014,JAN,1,1,6,28.7,38.35,22.02,7,1.4
2014,JAN,1,1,26,46,38.19,22.53,11,1.8
2014,JAN,1,1,58,48.7,36.85,26.28,30,1.8
2014,JAN,1,2,53,36.1,38.15,20.7,15,1.9
2014,JAN,1,3,27,14.6,38.63,25.77,20,2.4
2014,JAN,1,3,47,32.2,38.19,22.52,13,1.8
2014,JAN,1,4,27,20.5,38.7,22.73,10,2
2014,JAN,1,4,35,40.7,34.74,24.71,29,2.1
2014,JAN,1,5,7,32.1,34.89,24.41,30,2
2014,JAN,1,5,27,26.9,38.34,21.44,23,3
2014,JAN,1,5,30,11.9,38.35,21.44,23,2.8
2014,JAN,1,5,37,51.6,40.64,22.5,25,1.8
2014,JAN,1,6,15,27.8,40.64,22.49,21,1.3
2014,JAN,1,6,24,4.7,35.17,24.94,18,2.8
2014,JAN,1,6,27,48.6,37.44,27.58,24,3.3
2014,JAN,1,6,38,49.9,36.91,22.03,17,1.9
2014,JAN,1,6,56,49.3,39.36,21.6,26,1.6
2014,JAN,1,7,34,6.2,38.19,22.51,11,1.1
2014,JAN,1,7,38,53.1,38.19,22.52,18,1.2
2014,JAN,1,7,40,32.8,40.18,25.04,28,1.5
2014,JAN,1,8,8,6.4,39.16,20.55,22,1.8
2014,JAN,1,8,21,2.5,38.64,22,21,1.1
2014,JAN,1,8,31,56.9,38.93,21.96,15,1.4
2014,JAN,1,9,13,59.1,38.37,22.3,11,1.2
2014,JAN,1,9,14,44.8,41.66,24.26,28,1.9
2014,JAN,1,11,30,51.7,34.41,25.22,73,3.1
2014,JAN,1,13,4,27.4,36.74,27.51,28,3.2
2014,JAN,1,13,17,17.7,36.75,27.49,29,2.9
2014,JAN,1,13,37,45.6,34.94,24.15,31,2.2
2014,JAN,1,14,30,57.1,35.7,27.25,27,1.9
2014,JAN,1,14,48,1.4,38.83,23.32,20,3
2014,JAN,1,15,16,11.7,38.33,21.44,21,1.8
2014,JAN,1,15,35,54,40.66,21.26,16,2.3
2014,JAN,1,15,39,29.7,37.71,21.13,13,1.8
2014,JAN,1,15,50,24.6,36.74,27.5,29,2.9
2014,JAN,1,16,34,25.1,34.97,23.52,34,2.3
2014,JAN,1,16,44,56.8,35.06,23.54,33,2.2
2014,JAN,1,16,51,21.9,35.17,24.94,15,1.9
2014,JAN,1,17,37,25.5,38.7,22.63,17,2.1
2014,JAN,1,17,41,21.9,38.7,22.7,15,2.2
2014,JAN,1,18,36,20.9,39.79,19.9,10,2
2014,JAN,1,18,42,41.1,38.59,26.15,30,2.7
2014,JAN,1,19,1,19.8,38.56,24.49,20,1.8
2014,JAN,1,20,3,5.8,40.14,19.82,16,1.7
2014,JAN,1,20,15,15.4,35.19,25.81,17,2.2
2014,JAN,1,20,22,46.2,37.66,20.66,15,1.8
2014,JAN,1,20,32,38.7,38.34,21.84,10,0.7
2014,JAN,1,20,36,19.8,39.39,21.62,12,1.4
2014,JAN,1,20,55,6,38.8,23.37,13,2.1
2014,JAN,1,21,11,9.5,38.34,21.85,10,1.2
2014,JAN,1,21,25,50.4,38.34,21.87,10,1.2
2014,JAN,1,21,30,40.7,36.58,22.09,27,2.3
2014,JAN,1,21,56,30.6,36.48,22.77,17,2.2
2014,JAN,1,22,41,53,34.79,25.2,29,2.3
2014,JAN,2,0,3,45.4,40.12,21.86,15,1.8
2014,JAN,2,0,20,12.8,39.4,20.52,14,2.1
2014,JAN,2,1,1,36.5,38.74,22.73,6,1.9
2014,JAN,2,1,3,26.9,36.49,22.77,18,2.2
2014,JAN,2,2,37,26,38.11,21.61,24,1.8
2014,JAN,2,3,15,24.4,37.58,23.28,18,1.4
2014,JAN,2,3,47,59.9,36.75,27.55,27,2.7
2014,JAN,2,4,1,15,41.35,22.73,23,1.5
2014,JAN,2,4,2,39.2,37.63,22.64,57,2.1
2014,JAN,2,4,23,11,41.41,20.99,10,2.1
2014,JAN,2,5,22,57.7,38.72,22.75,11,1.7
2014,JAN,2,5,29,21.4,35.06,24.37,39,3.9
2014,JAN,2,6,11,9,38.39,22,9,0.6
2014,JAN,2,6,23,24,35.01,24.39,39,2
2014,JAN,2,6,37,6.4,35.03,24.39,37,1.9
2014,JAN,2,8,16,14.3,39.01,23.11,15,1.4
2014,JAN,2,8,32,23.2,38.17,23.53,12,1.5
2014,JAN,2,9,17,55,37.08,22.1,13,1.8
2014,JAN,2,9,31,24.2,35.73,26.94,14,2.6
2014,JAN,2,9,43,47.2,38.08,23.64,13,1.7
2014,JAN,2,9,45,8.7,38.09,23.65,11,1.6
2014,JAN,2,9,50,21.7,38.09,23.64,10,1
2014,JAN,2,10,14,42.7,34.85,25.29,44,3
2014,JAN,2,10,47,44.4,38.54,21.5,17,1.2
2014,JAN,2,12,15,25.4,38.67,23.57,3,1.4
2014,JAN,2,12,50,7.9,37.98,20.76,19,1.7
2014,JAN,2,12,54,47.3,39.15,22.13,19,2.2
2014,JAN,2,13,22,49.1,38.96,22.17,11,1.8
2014,JAN,2,13,58,39.3,38.38,22.22,15,1.3
2014,JAN,2,14,4,14.4,41.26,22.72,13,1.4
2014,JAN,2,15,25,8.5,37.97,20.72,21,1.5
2014,JAN,2,15,56,26.5,37.9,23.02,13,1.5
2014,JAN,2,16,11,31.7,38.12,20.26,17,2
2014,JAN,2,16,41,8.5,38.98,22.22,21,2.4
2014,JAN,2,17,27,55.2,38.2,21.85,10,1.4
2014,JAN,2,17,36,48.5,39.14,20.49,20,1.8
2014,JAN,2,18,2,9.6,38.99,22.21,16,1.5
2014,JAN,2,18,15,10.7,40.71,22.82,9,1.1
2014,JAN,2,18,34,26.7,36.24,27.17,15,2
2014,JAN,2,18,36,50.6,39.97,24.27,19,1.1
2014,JAN,2,18,57,51.8,38.98,22.18,16,2.1
2014,JAN,2,19,23,12.4,37.6,23.31,25,1.3
2014,JAN,2,19,40,51.2,38.97,22.17,16,1.8
2014,JAN,2,20,19,26.8,38.17,22.51,16,0.9
2014,JAN,2,20,24,43.3,38.18,22.51,25,1.1
2014,JAN,2,20,34,59.9,34.42,26.34,10,2.2
2014,JAN,2,20,59,55.9,38.62,24.55,15,1.6
2014,JAN,2,21,20,13,36.64,25.62,31,1.7
2014,JAN,2,22,2,13.1,38.26,23.17,16,1.6
2014,JAN,2,22,38,19.9,38.78,23.32,11,1.6
2014,JAN,2,22,54,21.4,38.36,23.81,11,1.2
2014,JAN,2,23,32,38,37.89,21.67,28,2.1
2014,JAN,3,0,4,27.3,38.38,22.02,7,1.2
2014,JAN,3,0,27,49,38.39,22.03,9,1
2014,JAN,3,0,38,38.3,36.42,28.08,19,2.5
2014,JAN,3,1,14,1.6,38.29,22.16,10,0.8
2014,JAN,3,1,39,24,38.75,22.78,12,1.7
2014,JAN,3,1,40,41,39.83,20.65,18,1.5
2014,JAN,3,2,40,4.2,38.99,22.03,16,1.5
2014,JAN,3,2,48,40.8,38.35,20.33,27,1.7
2014,JAN,3,3,13,18.8,37.62,23.32,13,1.1
2014,JAN,3,3,23,40.9,36.92,20.38,16,1.9
2014,JAN,3,4,2,35.7,38.71,22.7,7,1.1
2014,JAN,3,5,10,7.9,38.7,22.75,16,1.3
2014,JAN,3,5,17,40,38.16,24.17,9,1.6
2014,JAN,3,5,18,28.9,38.15,24.18,16,1.3
2014,JAN,3,5,40,21.5,36.66,21.42,31,2.7
2014,JAN,3,5,48,56.3,36.69,21.47,30,2
2014,JAN,3,6,42,40.7,37.55,24.33,27,1.5
2014,JAN,3,6,46,32,35.77,25.65,35,2.1
2014,JAN,3,7,42,27,38.34,21.99,10,0.8
2014,JAN,3,8,44,1,38.19,23.51,27,1.4
2014,JAN,3,8,48,25.8,36.62,23.1,24,1.1
2014,JAN,3,9,8,22.7,38.67,23.57,6,1.7
2014,JAN,3,9,10,41.9,38.26,21.64,35,1.4
2014,JAN,3,9,30,45.7,38.39,22.02,9,1.4
2014,JAN,3,9,38,35.8,35.13,23.13,11,2.6
2014,JAN,3,10,35,49.6,38.31,22.32,13,0.6
2014,JAN,3,11,33,34.1,41.25,22.72,19,2.3
2014,JAN,3,12,0,27.1,38.42,21.81,12,1.8
2014,JAN,3,12,5,53.4,41.21,22.75,12,1.4
2014,JAN,3,12,22,38.7,35.2,23.68,26,1.9
2014,JAN,3,13,12,17.2,37.44,22.76,15,1.2
2014,JAN,3,13,14,40.7,39.25,23.78,13,1.5
2014,JAN,3,13,50,39.8,38.11,24.18,11,1.1
2014,JAN,3,14,24,19.8,38.72,22.73,10,1.6
2014,JAN,3,14,34,48.1,34.73,25.21,26,1.9
2014,JAN,3,14,39,31.7,38.2,20.25,21,2.5
2014,JAN,3,15,20,12.4,38.66,20.38,22,1.7
2014,JAN,3,15,38,26.1,38.15,20.73,14,2
2014,JAN,3,16,14,18.1,38.66,22.82,15,1.2
2014,JAN,3,16,23,51.3,38.13,20.65,19,1.6
2014,JAN,3,16,34,48.8,37.79,22.8,12,1.1
2014,JAN,3,17,6,47.2,38.85,24.09,25,2.2
2014,JAN,3,18,36,55.7,37.07,20.18,16,2.3
2014,JAN,3,19,4,57.4,38.09,22.05,19,1
2014,JAN,3,19,13,11.1,35.04,24.39,29,1.3
2014,JAN,3,19,35,18.4,34.31,26.48,16,3.1
2014,JAN,3,19,43,42.6,39.37,23.93,14,1.3
2014,JAN,3,20,8,57.4,37.9,20.9,30,1.5
2014,JAN,3,20,19,51.2,34.45,25.3,61,2.9
2014,JAN,3,20,36,43,34.96,23.4,43,2.7
2014,JAN,3,21,1,36.1,39.47,25.13,13,1.8
2014,JAN,3,21,5,32.9,34.6,24.63,22,1.7
2014,JAN,3,21,5,58.1,37.59,21.51,18,1
2014,JAN,3,21,8,17.9,37.78,21.62,43,1.3
2014,JAN,3,21,48,49.9,40.68,23.4,12,1
2014,JAN,3,21,51,47.9,37.62,23.31,11,1.1
2014,JAN,3,22,17,41,40.63,21.79,16,1.1
2014,JAN,3,22,34,32.8,36.5,22.74,12,2.1
2014,JAN,3,22,59,49.6,34.97,26.26,15,2.8
2014,JAN,3,23,3,57.5,38.93,23.09,21,1.1
2014,JAN,3,23,16,54.2,34.9,24.9,30,2
