YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
1993,JAN,2,3,14,36.6,38.12,20.67,1,3.3
1993,JAN,2,17,45,48.7,37.65,23.2,1,3.1
1993,JAN,3,7,15,49.1,39.48,20.2,39,4.3
1993,JAN,5,20,37,23.8,39.93,25.71,10,3.7
1993,JAN,6,2,41,57,36.53,23.19,57,3.3
1993,JAN,7,4,47,20.5,38.34,21.85,5,3.5
1993,JAN,8,14,18,15.9,37.11,21.21,1,3.4
1993,JAN,9,5,29,50.5,38.34,21.16,1,3.7
1993,JAN,9,23,5,17.5,37.9,20.45,4,4.4
1993,JAN,10,4,6,33.1,38.07,20.64,1,3.1
1993,JAN,10,11,27,0.1,38.15,21.26,1,3.1
1993,JAN,10,18,4,4.7,38.11,23.03,36,3.2
1993,JAN,10,19,27,21.8,38.36,21.84,1,3.1
1993,JAN,10,20,32,36.2,38.28,20.67,1,2.9
1993,JAN,11,1,10,12.5,38.24,20.45,1,3.1
1993,JAN,11,2,56,27.8,38.11,20.65,1,3.4
1993,JAN,11,19,56,30.6,38.05,22.94,18,2.8
1993,JAN,12,3,17,55.5,37.54,24.28,1,2.8
1993,JAN,12,3,26,40.5,37.53,24.28,1,2.9
1993,JAN,12,4,52,39.1,37.86,22.27,1,2.8
1993,JAN,12,5,19,47.8,38.09,22.85,8,3
1993,JAN,12,23,51,24.1,38.21,20.55,1,3
1993,JAN,13,0,43,12.1,37.5,24.36,1,3
1993,JAN,14,15,24,27.3,37.32,28.32,26,4.4
1993,JAN,14,22,15,44.2,37.72,21.68,1,3
1993,JAN,14,23,8,50.1,36.36,22.89,11,3.2
1993,JAN,15,12,41,5.8,37.88,21.02,1,3
1993,JAN,15,12,58,53.4,37.37,21.71,1,2.6
1993,JAN,16,2,10,15.9,40.11,19.79,10,3.1
1993,JAN,16,16,13,30.3,38.24,20.56,1,3
1993,JAN,16,19,4,32.9,37.1,22.13,1,3.1
1993,JAN,16,19,41,48.1,37.06,22.1,1,2.9
