YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
2001,JAN,1,9,9,37.5,37.4,23.76,10,2.9
2001,JAN,1,11,57,45,37.38,21.93,26,2.6
2001,JAN,1,18,55,38.1,34.99,23.56,5,3.6
2001,JAN,1,20,23,35.7,35.37,23.69,5,3.4
2001,JAN,1,21,31,26.1,37.31,20.33,24,2.8
2001,JAN,1,21,59,6.8,34.02,25.41,5,3.7
2001,JAN,1,22,59,46.8,37.28,20.4,3,3.1
2001,JAN,2,0,11,12.3,35.44,23.75,5,3.4
2001,JAN,2,5,45,10.4,34.76,24.82,5,3.4
2001,JAN,2,18,51,19.9,36.11,21.58,5,3.8
2001,JAN,2,19,55,32.6,38.78,21.84,12,3
2001,JAN,2,20,34,52.8,36.17,22.86,13,3.5
2001,JAN,2,22,53,25.6,39.37,19.54,10,3
2001,JAN,3,0,1,14.7,38.61,26.18,35,3.5
2001,JAN,3,2,18,51.8,36.12,22.83,11,3.6
2001,JAN,3,2,40,8.6,35.99,23.41,5,3
2001,JAN,3,18,10,0.4,35.15,24.62,10,3.4
2001,JAN,3,23,2,53.9,38.83,26.14,16,3.6
2001,JAN,3,23,8,9.3,36.66,25.67,10,3.6
2001,JAN,4,1,20,38.6,37.66,26.86,11,3.8
2001,JAN,4,9,36,36.4,37.54,23.42,113,3.2
2001,JAN,4,12,12,10.6,37.79,27.48,10,3.6
2001,JAN,4,13,52,11.1,39.16,21.66,20,3
2001,JAN,4,21,26,36.8,36.24,22.36,5,2.8
2001,JAN,5,1,14,5.7,36.43,27.05,35,3.5
2001,JAN,5,2,13,59.7,38.21,21.67,10,2.7
2001,JAN,5,12,17,48,38.49,25.05,9,3.3
2001,JAN,5,13,9,59,35.85,23.84,5,3.2
2001,JAN,5,17,28,43.2,38.27,25.27,35,3
2001,JAN,6,3,53,33.2,38.04,21.93,10,2.8
2001,JAN,6,19,52,46.8,38.26,22.04,5,3
2001,JAN,6,20,25,40.4,34.87,25.8,5,3.9
2001,JAN,6,21,17,47.7,34.57,25.26,39,4
2001,JAN,6,21,27,4.5,34.99,25.76,12,4.1
2001,JAN,6,21,51,32.1,34.99,25.84,5,3.9
2001,JAN,6,22,3,13.5,35.03,25.75,9,3.7
2001,JAN,7,2,1,36.3,38.98,20.58,5,3.4
2001,JAN,7,4,3,46.8,35.36,25.37,10,3.5
2001,JAN,7,11,58,10.8,39.49,26.52,25,3.6
2001,JAN,7,18,36,38.7,35.02,25.69,14,4.1
2001,JAN,7,21,0,59.3,34.53,25.76,5,4
2001,JAN,8,7,51,4.2,35.05,25.7,12,3.9
2001,JAN,8,9,0,6.6,35.43,25.7,10,3.6
2001,JAN,8,19,2,45.6,35.22,24.39,5,3.5
2001,JAN,8,20,43,27.6,37.64,20.47,5,2.8
2001,JAN,9,2,34,49.4,39.25,22.1,10,2.9
2001,JAN,10,6,18,53.7,40.32,25.8,5,3
2001,JAN,10,15,21,18.2,38.13,23.62,11,2.2
2001,JAN,10,20,57,10.2,36.45,27.06,12,3.5
2001,JAN,10,23,15,37.3,35.67,27.18,38,3.5
2001,JAN,11,1,4,31.6,35.24,27.74,21,3.5
2001,JAN,11,1,16,7,34.75,26.29,5,4.3
2001,JAN,11,2,47,35.7,38.24,23.56,41,2.7
2001,JAN,11,13,50,7,37.32,20.49,36,2.9
2001,JAN,11,16,0,9.9,37.57,23.45,5,2.5
2001,JAN,11,16,34,24.6,37.59,23.48,5,2.4
2001,JAN,11,19,30,9.5,37.56,21.22,25,3.1
2001,JAN,11,21,19,18.7,38.62,19.67,15,2.9
2001,JAN,11,21,44,39.9,38.05,28.27,5,3.7
2001,JAN,12,9,41,52,40.28,20.1,5,3.1
2001,JAN,12,12,12,30.2,38.03,23.65,5,3.5
2001,JAN,12,15,59,9.5,38.93,20.69,10,2.9
2001,JAN,12,16,54,40.9,39.91,20.19,5,3
2001,JAN,12,21,45,25.6,34.71,25.66,10,4
2001,JAN,12,22,0,9,35.84,28.29,23,4
2001,JAN,13,0,14,40.9,35.63,26.55,48,3.8
2001,JAN,13,0,42,24.1,40.79,23.42,5,3.9
2001,JAN,13,3,57,7.1,35.76,25.26,10,3.6
2001,JAN,13,7,53,40.5,35.72,27.09,37,4.1
2001,JAN,13,8,57,31.1,40.02,19.66,5,3.6
2001,JAN,13,9,48,9.1,39.95,19.91,10,3.1
2001,JAN,13,11,59,25.2,35.39,23.42,5,3.2
2001,JAN,13,21,24,25.6,36.8,21.12,40,2.8
2001,JAN,14,1,0,27.4,34.88,25.55,5,3.7
2001,JAN,14,16,41,45.3,38.36,21.77,5,3.4
2001,JAN,14,17,54,38.3,38.25,25.29,38,3.3
2001,JAN,14,22,31,23.8,38.26,25.13,37,3.1
2001,JAN,14,23,3,33.5,35.51,23.03,10,3.2
2001,JAN,16,3,8,23.4,39.28,21.69,30,3
2001,JAN,16,14,36,15.8,38.47,21.68,10,2.7
2001,JAN,16,22,28,26.5,35.18,24.13,58,3.8
2001,JAN,17,1,32,35.1,39.85,24.44,35,3.4
2001,JAN,17,5,1,5,35.06,26.33,5,4.3
2001,JAN,17,8,1,26.4,35.37,23.54,38,3.6
2001,JAN,17,9,3,20.2,38.28,22.21,10,2.8
2001,JAN,17,19,27,1.6,35.02,24.01,23,3.5
2001,JAN,17,20,15,6.3,35.61,24.39,15,3.2
2001,JAN,17,23,57,31,38.82,21.45,15,3
2001,JAN,18,0,36,26.2,35.62,25.13,30,3.2
2001,JAN,18,0,55,23.2,38.99,20.69,5,2.8
2001,JAN,18,4,47,25.5,39.17,20.62,5,3
2001,JAN,18,10,2,57.1,38.51,20.9,34,2.7
2001,JAN,18,19,54,42.3,36.67,27.46,10,3.7
2001,JAN,18,20,20,54.6,35.84,21.83,5,3.8
2001,JAN,18,21,0,9.1,38.3,25.23,33,3.2
2001,JAN,18,21,46,7.9,38.43,21.86,10,2.7
2001,JAN,18,22,49,18.8,35.44,25.46,10,3.6
2001,JAN,19,1,33,25.6,37.62,21.88,10,2.6
2001,JAN,19,3,52,40.6,36,26.05,15,3.6
2001,JAN,19,4,38,38.8,39.16,28.02,13,4.1
2001,JAN,19,6,47,19.3,34.83,25.37,22,3.7
2001,JAN,19,17,58,55.1,39,21.77,5,3
2001,JAN,19,18,33,7.9,38.14,23.75,5,2.8
2001,JAN,19,20,33,24,34.83,25.47,5,3.6
2001,JAN,19,21,4,40.4,34.93,25.42,5,4
2001,JAN,20,0,33,3.5,35.07,25.46,12,3.8
2001,JAN,20,8,4,48,37.67,23,5,2.9
2001,JAN,20,9,31,29.8,37.69,23.1,8,2.6
2001,JAN,20,17,24,14.4,34.71,23.58,5,3.7
2001,JAN,20,19,44,39.2,36.1,24.68,10,3.7
2001,JAN,20,20,16,4.8,37.74,21.51,10,2.7
2001,JAN,20,22,47,31.4,38.46,21.83,5,2.8
2001,JAN,21,2,54,18.5,38.25,25.28,28,3.2
2001,JAN,21,4,9,25.2,38.22,25.26,10,3.4
2001,JAN,21,4,39,9,35.62,25.58,10,3.8
2001,JAN,21,4,57,16,36.57,25.45,2,3.3
2001,JAN,22,4,56,47.4,38.83,21.02,10,2.8
2001,JAN,22,14,12,56.7,38.22,25.16,39,3.1
2001,JAN,22,15,57,39.8,40.09,20.13,5,2.8
2001,JAN,22,15,59,2.2,35.48,22.84,7,3.6
2001,JAN,23,6,5,28.8,39.88,19.86,5,3.3
2001,JAN,23,9,45,24.6,35.76,25.91,17,3.8
2001,JAN,23,11,44,12.5,37.55,20.61,5,3.2
2001,JAN,23,14,17,25,37.55,20.42,5,2.9
