YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,DEPTH,MAGNITUDE
2015,JAN,1,0,35,14,39.47,20.4,5,2.1
2015,JAN,1,1,33,12.7,40.53,21.34,18,1.8
2015,JAN,1,2,19,54.6,37.34,20.75,16,3
2015,JAN,1,2,44,52.6,38.39,22.09,8,2.4
2015,JAN,1,6,50,6.3,38.48,21.55,26,2.2
2015,JAN,1,10,0,20,38.17,22.52,5,2.6
2015,JAN,1,10,25,34.1,38.42,20.47,12,2
2015,JAN,1,11,17,17.6,38.37,20.45,10,1.6
2015,JAN,1,13,53,5.5,39.28,22.14,90,2.8
2015,JAN,1,14,36,8.3,39.95,21.48,15,2
2015,JAN,1,16,40,17.2,40.52,23.54,6,2.2
2015,JAN,1,17,4,31.7,38.83,21.8,8,2.5
2015,JAN,1,18,17,9.4,38.83,21.82,10,2.1
2015,JAN,1,18,19,21.8,41.55,23.68,7,1.7
2015,JAN,1,19,24,37.3,38.95,23.19,7,2.3
2015,JAN,1,19,25,45.3,38.85,21.75,15,1.9
2015,JAN,1,20,25,54.8,38.38,20.44,16,1.5
2015,JAN,1,21,19,46.8,38.12,20.62,18,1.8
2015,JAN,1,21,37,43.5,39.33,26.21,9,2.3
2015,JAN,1,21,50,17.8,39.02,21.98,17,2.4
2015,JAN,1,22,4,36.8,38.84,21.77,11,1.5
2015,JAN,1,22,9,39.2,37.58,21.9,16,1.8
2015,JAN,1,23,33,42.6,39.74,23.89,15,2.7
2015,JAN,2,0,53,1.6,38.57,21.1,15,1.9
2015,JAN,2,1,40,33.4,38.58,21.09,14,2
2015,JAN,2,2,23,37.9,38.56,21.08,14,1.8
2015,JAN,2,2,44,1.3,36.42,22.05,5,2.6
2015,JAN,2,3,4,25,38.57,21.08,15,1.9
2015,JAN,2,4,39,57,37.62,21.32,21,2.2
2015,JAN,2,5,50,54.8,41.22,23.97,9,3.1
2015,JAN,2,6,3,14,34.35,23.48,24,3.7
2015,JAN,2,6,16,28.1,37.38,20.32,5,4.7
2015,JAN,2,7,7,16.1,34.81,24.86,19,2.7
2015,JAN,2,7,19,16.4,38.07,20.22,15,1.7
